H1_dB,H2_dB,H3_dB,U1_dB,U2_dB,U3_dB,Unsafe_1s
-83.05332429,-86.7216548,-86.4732977,-86.19088944,-86.64784616,-86.79971766,0
-81.41011023,-86.72846877,-85.97377977,-86.32122543,-86.62855387,-86.97379478,0
-81.20123287,-86.81454733,-85.93960615,-86.11881852,-86.74650428,-86.85308652,0
-79.57013107,-86.65880195,-85.73714819,-86.14311631,-86.68263518,-86.86040393,0
-79.41686605,-86.52998247,-85.90605547,-85.42153483,-86.68218641,-86.76351228,0
-79.03261496,-86.48718075,-85.75795951,-84.81417679,-86.75973474,-86.7674988,0
-79.90449816,-86.46553019,-85.79734385,-84.74812834,-86.69714772,-86.81119112,0
-79.30364495,-86.12031374,-85.78481922,-83.10376127,-86.67624123,-86.84949825,0
-78.71369749,-85.91168094,-85.77691882,-81.7874221,-86.60208956,-86.84032833,0
-76.96517639,-85.66855208,-85.26987053,-81.50940296,-86.61509676,-86.85169906,0
-77.68926336,-85.5086413,-85.92098813,-80.65596835,-86.6778367,-86.86148801,0
-77.60595761,-84.80783423,-85.70442135,-79.24152982,-86.4673827,-86.75947363,0
-76.76337534,-84.51635344,-85.84376331,-78.39415196,-86.55016537,-86.72820409,0
-74.61364,-83.75184449,-85.46318862,-75.54548117,-86.50147328,-86.58962643,1
-73.22722434,-82.75998232,-85.04511549,-74.26207463,-86.43920584,-86.75160339,1
-71.90707951,-82.44605474,-84.587922,-74.74809893,-86.45493048,-86.54690367,1
-70.60325684,-81.36342387,-84.24705133,-72.69364434,-86.44502089,-86.47792288,1
-70.26526535,-80.37804516,-83.87427794,-71.73383518,-86.39311826,-86.5365659,1
-69.94809664,-79.20061642,-83.14748579,-70.21997147,-85.92502487,-86.22561154,1
-68.56526314,-78.48786694,-82.47919464,-70.09842591,-85.90598785,-86.25667169,1
-69.05646706,-77.03150597,-82.82943407,-69.01636791,-85.78219316,-86.00791713,1
-67.76141799,-75.86982128,-82.19577884,-69.15939882,-85.77592335,-85.97845874,1
-67.93430836,-74.69261283,-82.14695582,-68.5940593,-85.27434312,-86.01543537,1
-66.66421589,-73.52834309,-80.62928163,-67.79319828,-85.36056939,-85.74586714,1
-68.04116301,-72.30910457,-81.71966588,-68.04157384,-85.47888505,-86.020566,1
-86.59423065,-86.77936505,-86.91600679,-86.68545514,-86.67363122,-86.83263305,0
-86.40170672,-86.64974689,-86.83873957,-86.48033509,-86.57622653,-86.88007533,0
-86.30836612,-86.67403294,-86.99214639,-86.50166848,-86.69107985,-86.78737371,0
-86.14251049,-86.77629159,-86.86888994,-86.50327307,-86.81728143,-86.9224563,0
-86.08858399,-86.68090637,-86.84545351,-86.61238532,-86.70205469,-86.83500772,0
-86.099784,-86.7548435,-86.89217537,-86.34114085,-86.78593439,-86.84154999,0
-85.93930479,-86.70952365,-86.93355411,-86.07414723,-86.73132502,-86.86571547,0
-85.5887302,-86.72243183,-86.92078928,-86.48107913,-86.76314293,-86.86827849,0
-85.34100085,-86.73668879,-86.74842361,-86.42142735,-86.7751377,-86.88736729,0
-84.59181403,-86.66371541,-86.74372734,-85.58306886,-86.59802373,-86.86449589,0
-82.82403103,-86.61261076,-86.42843917,-85.27118527,-86.78336339,-86.81470849,0
-82.36935774,-86.50613548,-86.51271177,-85.2861232,-86.61846012,-86.82342764,0
-81.8123087,-86.4819863,-86.63163284,-85.74595621,-86.56277301,-86.79026667,0
-79.79460575,-86.42124038,-86.21006163,-85.7391372,-86.62448891,-86.82725219,0
-80.49391977,-86.20600802,-86.42010179,-84.46835417,-86.70172754,-86.90275501,0
-80.06910403,-86.1302741,-86.4488961,-85.07258583,-86.53023752,-86.71986778,0
-80.28824598,-85.96442894,-86.51873127,-83.73101193,-86.56268386,-86.83545535,0
-79.66353006,-85.63809624,-86.49936671,-83.4229811,-86.7111002,-86.84716744,0
-79.3539366,-85.26085659,-86.49750095,-82.81003708,-86.6651904,-86.86302658,0
-78.08799077,-84.88458911,-86.38740121,-81.40226955,-86.62460327,-86.74236344,0
-77.63319576,-84.2357104,-86.2306619,-80.14289729,-86.35044515,-86.70186652,0
-77.03676689,-83.57258623,-86.38064302,-79.0212503,-86.57579826,-86.77271986,0
-75.13262054,-82.83782592,-86.07948262,-76.87939094,-86.59144422,-86.76691932,0
-74.19149083,-81.95524918,-85.82788072,-76.67311766,-86.40187222,-86.74373827,0
-73.4313481,-81.12899861,-85.54894663,-74.37758653,-86.50401242,-86.66232409,1
-71.40387109,-80.22917104,-84.56156087,-73.80656982,-86.61063121,-86.6530734,1
-71.67875046,-79.19823452,-84.7209596,-72.93201875,-86.3243277,-86.61935261,1
-71.59589851,-77.87013708,-84.648274,-72.31183648,-86.46429577,-86.65612203,1
-70.88601243,-76.57263377,-84.17367113,-72.52198694,-86.35268929,-86.55385254,1
-69.907221,-75.30043891,-83.78767303,-71.76698758,-86.38512312,-86.54573558,1
-69.77092884,-74.03304816,-83.53141261,-71.75475247,-86.26397096,-86.46025314,1
-69.6581838,-72.84334563,-83.60474948,-70.9969313,-86.26288265,-86.38866308,1
-86.72322578,-86.76940039,-86.92108494,-86.54796973,-86.7562922,-86.86102551,0
-86.75426571,-86.80413164,-86.95466704,-86.53930516,-86.90963595,-86.86875161,0
-86.69564561,-86.93307959,-86.86094781,-86.39911893,-86.81315083,-86.96125138,0
-86.62854411,-86.81629173,-86.88278468,-86.53969421,-86.81793719,-86.84067681,0
-86.51939798,-86.71954563,-86.93590223,-86.45661982,-86.78113811,-86.93256706,0
