filename,frame,harmonic_amplitudes,target_harm_dB,ultraharmonic_amplitudes,target_uh_dB,harmonic_indices,ultraharmonic_indices,exceeds_harm,exceeds_uh,harmonic_threshold_dB,uh_threshold_dB,target_bb_std,ambient_bb_std,safety_1s,safety_2s,safety_3s
PCI_1000x_01.pacq,11,[0.000778014820578534 0.00122581059282193 0.00659137867093008 0.0157771746058549],[-31.0901212995868 -29.1157663001912 -21.8102373767383 -18.0197076810701],[0.0110640096846087 0.0392200876693666 0.0641481757776748],[-19.5608745274959 -14.0649143988089 -11.9281568942084],[12584 14681 16778 18875],[12702 16699 18796],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],12.0342430186824,0.466824353655995,1,1,1
PCI_1000x_01.pacq,12,[0.000634806697544663 0.00146369679848841 0.00419020944076797 0.0144820718660235],[-31.9735849985773 -28.3454887708973 -23.7776426899157 -18.3916930170147],[0.00255531244532523 0.00906923739647579 0.0274503863693888],[-25.9255598986019 -20.4242922985574 -15.6145153839376],[12584 14681 16778 18875],[14573 16670 18714],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],13.6588890949597,0.466824353655995,1,1,1
PCI_1000x_01.pacq,13,[0.000347488576655478 0.000904030311372096 0.00273538625618569 0.00638369742552245],[-34.5905946784231 -30.4381700775368 -25.6298133950027 -21.9492770585847],[0.00314832494026966 0.00817245359461002 0.0170518845209893],[-25.0192045023823 -20.8764753678149 -17.6822761715011],[12584 14681 16778 18875],[14613 16710 18723],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],16.1822871105674,0.466824353655995,1,1,1
PCI_1000x_01.pacq,14,[0.000424186211719097 0.00109169142904077 0.00440174268297519 0.0154877433079371],[-33.7244345244283 -29.6190009936243 -23.5637534902263 -18.1001185792245],[0.00202465705630224 0.00368368888967839 0.00825364291360993],[-26.93648528582 -24.3371705578283 -20.8335432440983],[12584 14681 16778 18875],[12780 16721 18691],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],16.8604746882827,0.466824353655995,1,1,1
PCI_1000x_01.pacq,15,[0.000198392848957015 0.000508836558089122 0.00105501199817648 0.00405120214724368],[-37.0247398598466 -32.9342169373148 -29.7674260130258 -23.924160858112],[0.00395841139788605 0.00594978720064273 0.018406869137965],[-24.0247907153766 -22.2549856691671 -17.3502007525141],[12584 14681 16778 18875],[12721 16648 18808],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],18.4506186845153,0.466824353655995,1,1,1
PCI_1000x_01.pacq,16,[0.000170686281792522 0.000845968529655975 0.00673536418247787 0.0101238653386448],[-37.6780138211443 -30.7264579257678 -21.7163891691731 -19.9465364019024],[0.00236054068135826 0.00632936934844809 0.0103787840610306],[-26.269885105739 -21.9863956046187 -19.8385352380136],[12584 14681 16778 18875],[12736 16498 18742],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],23.7506456720413,0.466824353655995,1,1,1
PCI_1000x_01.pacq,17,[8.73112698388867e-05 0.000461835439206702 0.00404990631984384 0.0100035552594501],[-40.5892969543591 -33.3551274430455 -23.9255502252494 -19.9984562448454],[0.0015968761451504 0.00251257449157284 0.00975945559394152],[-27.9672876674421 -25.9988105363137 -20.1057440765517],[12584 14681 16778 18875],[12665 16700 18812],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],20.1779298288741,0.466824353655995,1,1,1
PCI_1000x_01.pacq,18,[0.00191594829465387 0.00224115710018094 0.00238866919526304 0.00537488432205626],[-27.1761621532507 -26.495276993104 -26.2184399115407 -22.6963087817203],[0.00233512480587281 0.007541115612199 0.0104903429993141],[-26.3168990265532 -21.2256440102915 -19.7921031158965],[12584 14681 16778 18875],[14004 16640 18738],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],22.9286747240494,0.466824353655995,1,1,1
PCI_1000x_01.pacq,19,[8.03119540022796e-05 0.000540382676222936 0.00102358471953264 0.00667043356055079],[-40.9521980751285 -32.6729858219142 -29.8987620605194 -21.758459371726],[0.00250819105883443 0.003606561294898 0.0111952937221994],[-26.0063938465267 -24.4290668240924 -19.5096450768951],[12584 14681 16778 18875],[13976 16675 18794],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],26.6978350679351,0.466824353655995,1,1,1
PCI_1000x_01.pacq,20,[0.000234105133477981 0.0028479103270921 0.0026679943079434 0.00488569714449692],[-36.3058906295132 -25.4547368956545 -25.7381510130399 -23.1107345765532],[0.00519836507421522 0.0056949486841353 0.010586240672916],[-22.8413322384431 -22.4451018489432 -19.7525823676349],[12584 14681 16778 18875],[13625 15722 18824],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],30.0811720233753,0.466824353655995,1,1,1
PCI_1000x_01.pacq,21,[0.000173779670191011 0.00521655986158342 0.00912289115724467 0.00962233227268935],[-37.6000103134123 -22.8261580459435 -20.398675065557 -20.1671965037422],[0.00623179147465692 0.0104367643730546 0.0193492510284122],[-22.0538708725478 -19.8143412132697 -17.1333584100801],[12584 14681 16778 18875],[14438 16625 18707],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],31.1321399466666,0.466824353655995,1,1,1
PCI_1000x_01.pacq,22,[0.0018403993584822 0.00779050539732064 0.0116859501702346 0.0270259525369765],[-27.3508792679156 -21.0843436721219 -19.3233596988595 -15.6821899027891],[0.0147567827388519 0.0225019647176484 0.0430278260674499],[-18.3100831670436 -16.4777956060946 -13.6625059560372],[12584 14681 16778 18875],[13222 16570 18301],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],38.3970161612712,0.466824353655995,1,1,1
PCI_1000x_01.pacq,23,[0.00519653655659883 0.0140778201216605 0.0179367970653107 0.0198435321335812],[-22.8428601319186 -18.5146458826399 -17.462551053861 -17.0238102121453],[0.0239067867227433 0.0353829218883583 0.0663088208495778],[-16.214787928663 -14.5120630631622 -11.7842869495143],[12584 14681 16778 18875],[14616 16337 17997],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],43.2967442080095,0.466824353655995,1,1,1
PCI_1000x_01.pacq,24,[0.0112019419333499 0.0136465717691744 0.0172370346289547 0.0318814611566962],[-19.5070668288055 -18.6497643644207 -17.6353744588094 -14.9646178270414],[0.0214511232957639 0.0381135682603249 0.0746716396762424],[-16.685499608975 -14.1892038989944 -11.2684431211723],[12584 14681 16778 18875],[14248 16067 18825],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],48.2339290066168,0.466824353655995,1,1,1
PCI_1000x_01.pacq,25,[0.0138414171952976 0.0311124857318902 0.0491156495030055 0.0864401712794364],[-18.5881944105068 -15.0706528954969 -13.0878010848973 -10.6328438124229],[0.0425743387981544 0.0671101399878223 0.11239229202682],[-13.7085208813442 -11.732118552699 -9.49263472085503],[12584 14681 16778 18875],[14526 16302 18552],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],58.9295811491024,0.466824353655995,1,1,1
PCI_1000x_01.pacq,26,[0.0159210933526358 0.0286047096277093 0.0455249404924317 0.104722820628213],[-17.9802711117675 -15.4356245648855 -13.4175061321729 -9.79958668913649],[0.0507550075737234 0.0930513228723086 0.14368288483909],[-12.9452110308274 -10.3127744830366 -8.42594960902825],[12584 14681 16778 18875],[14175 16489 18587],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],62.0019916193769,0.466824353655995,1,1,1
PCI_1000x_01.pacq,27,[0.0146888995568539 0.0432682115066899 0.0677213675918541 0.0683120702326306],[-18.3301073887874 -13.6383105601062 -11.6927428016147 -11.655025529468],[0.0521986639358139 0.102151163159141 0.190462306524358],[-12.8234061295041 -9.90756683845823 -7.20190960608985],[12584 14681 16778 18875],[13365 16717 18364],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],68.7088842821451,0.466824353655995,1,1,1
PCI_1000x_01.pacq,28,[0.0264696472893576 0.0312912516099555 0.0543983079060895 0.108413913321927],[-15.772518456766 -15.0457706528378 -12.6441460909736 -9.64914978949017],[0.0672290453792425 0.131548156078229 0.189877601448605],[-11.7244305547844 -8.80915235078563 -7.21526262967027],[12584 14681 16778 18875],[14062 16664 18642],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],74.597911558726,0.466824353655995,1,1,1
PCI_1000x_01.pacq,29,[0.0104331338741451 0.0531936726270593 0.0754313283662756 0.163509277144127],[-19.8158521987476 -12.7414002384368 -11.2244824417238 -7.86457601424482],[0.0891479128578112 0.172337835424491 0.219009398818206],[-10.4988882012683 -7.63619366125868 -6.59537246953053],[12584 14681 16778 18875],[14285 16219 18159],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],78.431377402821,0.466824353655995,1,1,1
PCI_1000x_01.pacq,30,[0.0342171248198881 0.0243331763607432 0.0420042195265925 0.0868540148352574],[-14.6575648594971 -16.1380119621083 -13.7670708043377 -10.6121010144834],[0.0798422172733917 0.162889295798745 0.235301232383413],[-10.9776741089619 -7.88107454232196 -6.28375798213209],[12584 14681 16778 18875],[14422 16460 18180],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],82.2363874317058,0.466824353655995,1,1,1
PCI_1000x_01.pacq,31,[0.0166768316137435 0.0432246180348082 0.0481719403067312 0.0794967359885785],[-17.7788645629852 -13.6426883578933 -13.1720586048366 -10.9965070242843],[0.10853505163411 0.147750844736342 0.255563797955246],[-9.64429982802514 -8.30470027446482 -5.92500666404862],[12584 14681 16778 18875],[13920 16141 18609],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],81.6396217766889,0.466824353655995,1,1,1
PCI_1000x_01.pacq,32,[0.01710342675514 0.0225091652558276 0.0373739315770687 0.138333899491601],[-17.6691686786796 -16.4764061035309 -14.2743121383315 -8.59071380569679],[0.100848610604856 0.170642086924017 0.262417958630722],[-9.96330080701597 -7.67913846177693 -5.81006447240948],[12584 14681 16778 18875],[14608 16268 18792],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],84.4702479823994,0.466824353655995,1,1,1
PCI_1000x_02.pacq,1,[7.42719330373033e-07 2.8416777637383e-06 5.03062079342126e-06 7.90509773750206e-06],[-61.2917527277877 -55.4642517108296 -52.9837841841894 -51.0209275614348],[2.82218942239145e-06 6.12499331067633e-06 9.80866547280106e-06],[-55.4941384021366 -52.1289438127167 -50.0839007694464],[12584 14681 16778 18875],[14415 16723 18747],[0 0 1 1],[0 0 0],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.468683885351936,0.466824353655995,0,0,0
PCI_1000x_02.pacq,2,[3.85631734766635e-07 6.24043538154593e-06 6.16691545353843e-06 1.56996677056285e-05],[-64.1382723393174 -52.0478510948316 -52.0993200557295 -48.0410953963785],[4.14039033767878e-06 5.45980702287534e-06 1.16449458192483e-05],[-53.8295871358711 -52.6282270718198 -49.3386252777818],[12584 14681 16778 18875],[12780 16571 18811],[0 1 1 1],[1 0 0],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.473585284643112,0.466824353655995,0,0,0
PCI_1000x_02.pacq,3,[8.38070141293906e-06 5.42999748610888e-05 3.48632916147706e-05 3.53737802295928e-05],[-50.7671963208318 -42.6520037147364 -44.5763161141292 -44.5131852669565],[1.08062142219632e-05 1.75229077839654e-05 2.00452280196954e-05],[-49.6632642727486 -47.5639382455228 -46.9798899917239],[12584 14681 16778 18875],[14617 14878 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.4810380381553,0.466824353655995,0,0,0
PCI_1000x_02.pacq,4,[1.47034581271369e-05 1.9052420693418e-05 2.38395312701051e-05 2.6976546659062e-05],[-48.3258051090429 -47.200498374684 -46.2270228789187 -45.6901364632105],[5.4730294743254e-06 1.32409899494611e-05 2.48629021202069e-05],[-52.6177221301181 -48.7807954408693 -46.0444817974786],[12584 14681 16778 18875],[12977 14878 16975],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.482623363958696,0.466824353655995,0,0,0
PCI_1000x_02.pacq,5,[3.39264355679625e-05 0.000230996710745836 0.000842627094825701 0.00100136906036898],[-44.6946176648167 -36.3639420415592 -30.7436458016751 -29.9940583127005],[0.0001642522037191 0.000190482460074466 0.000339575318809457],[-37.8448879493942 -37.2014500866856 -34.690638828992],[12584 14681 16778 18875],[12780 16714 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.504438521074959,0.466824353655995,0,0,0
PCI_1000x_02.pacq,6,[5.64820414781931e-06 0.000138005253562398 0.000751951326443815 0.00166425611066699],[-52.4808961459982 -38.601043806297 -31.2381027023416 -27.7877983976966],[0.00020096491192999 0.000435783553681024 0.000485787984244818],[-36.9687976290498 -33.6072916390242 -33.1355323148377],[12584 14681 16778 18875],[12779 14876 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.539898830955923,0.466824353655995,0,0,0
PCI_1000x_02.pacq,7,[6.95937769099321e-05 0.000989313356043046 0.00105786070003087 0.00412105518172422],[-41.5742959335652 -30.0466612777022 -29.7557151679129 -23.8499157014955],[0.000742706187208588 0.000691101025888944 0.00132219377457675],[-31.2918295812378 -31.6045846235215 -28.7870489200438],[12584 14681 16778 18875],[12779 14876 18810],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],1.00517171561661,0.466824353655995,1,0,0
PCI_1000x_02.pacq,8,[2.16073082297978e-05 0.000520020815431903 0.00119624684459849 0.00269647493948263],[-46.6539933278167 -32.8397927204542 -29.2217919477436 -25.6920361160611],[0.000923486384808575 0.000863125101156805 0.00165403043933698],[-30.3456950308903 -30.6392625317871 -27.8145650233218],[12584 14681 16778 18875],[12769 14865 18800],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],1.91890940966795,0.466824353655995,1,1,1
PCI_1000x_02.pacq,9,[7.32469074661908e-05 0.00032611498562031 0.000623805761249366 0.00173727009762547],[-41.3521070679257 -34.8662924405613 -32.0495061857013 -27.6013265547965],[0.000571366068674878 0.00178037376183854 0.00493733699069639],[-32.4308555433623 -27.4948881473365 -23.065072296358],[12584 14681 16778 18875],[12899 16710 18801],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],2.4871383682083,0.466824353655995,1,1,1
PCI_1000x_02.pacq,10,[0.000149929032557067 0.000615586373086598 0.001138781845494 0.00336121712768196],[-38.2411426135808 -32.1071100248383 -29.4355946501 -24.735034320981],[0.00230741344461348 0.00502882957859883 0.0128883236363091],[-26.368745811934 -22.9853308188319 -18.8980356696357],[12584 14681 16778 18875],[12662 16705 18757],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],5.34406446427966,0.466824353655995,1,1,1
PCI_1000x_02.pacq,11,[0.000144565305104706 0.000217160337533845 0.002894954738315 0.00349638347684226],[-38.3993592287501 -36.6321949198886 -25.3835822193782 -24.5638094081361],[0.00338927691350499 0.00459657254622514 0.00859357292356426],[-24.6989294662613 -23.3756588116315 -20.6582623333168],[12584 14681 16778 18875],[12675 14772 18759],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],8.11928911575889,0.466824353655995,1,1,1
PCI_1000x_02.pacq,12,[3.78449911646631e-05 0.000653603637814918 0.000803428650471215 0.00169866685776747],[-44.2199159181764 -31.846855392808 -30.9505268527588 -27.6989178653404],[0.00159012829001265 0.00561383316520147 0.0130702407728566],[-27.9856783580724 -22.5074049809791 -18.8371641200936],[12584 14681 16778 18875],[12657 16697 18774],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],10.1386998089251,0.466824353655995,1,1,1
PCI_1000x_02.pacq,13,[9.62978708584374e-05 0.000607200895608503 0.00130635305209471 0.00366856511798351],[-40.1638331500064 -32.1666759653691 -28.8393943572896 -24.3550376768096],[0.00245321617307184 0.00882132137058327 0.0213380104959429],[-26.102641808455 -20.5446635580125 -16.7084607558224],[12584 14681 16778 18875],[14598 16715 18793],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],11.4766235009871,0.466824353655995,1,1,1
PCI_1000x_02.pacq,14,[0.000116219864965841 0.000409741905784618 0.00357343826078869 0.00556552530747688],[-39.3471963349735 -33.8748961691011 -24.4691371691539 -22.5449383809088],[0.00156472410073054 0.00421826545552377 0.00834567460502152],[-28.0556222814527 -23.7486609357671 -20.7853855228648],[12584 14681 16778 18875],[12707 16642 18739],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],10.7208726379049,0.466824353655995,1,1,1
PCI_1000x_02.pacq,15,[6.61478921504707e-05 0.000253554270892188 0.00233071598520846 0.00109913627322362],[-41.7948399035788 -35.9592906975705 -26.3251064521462 -29.5894845949635],[0.00144591979454603 0.00431553829762753 0.00605700741246107],[-28.3985579677326 -23.6496502495261 -22.1774189485429],[12584 14681 16778 18875],[12891 16696 18800],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],15.8742969077563,0.466824353655995,1,1,1
PCI_1000x_02.pacq,16,[0.000353449104533744 0.000339919546288945 0.00112999989105879 0.00152472737475475],[-34.5167311428998 -34.6862386159711 -29.4692159838611 -28.1680780236578],[0.00101207092454332 0.00265407663310384 0.0041354183609592],[-29.9478905166768 -25.7608654158701 -23.8348054834475],[12584 14681 16778 18875],[14547 16645 18757],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],17.8148076816631,0.466824353655995,1,1,1
PCI_1000x_02.pacq,17,[8.84869362290028e-05 0.00102857248268989 0.000893168632894889 0.00641059703929732],[-40.5312084164615 -29.8776509850199 -30.490665372798 -21.9310152137079],[0.00157926630510449 0.00347997357022938 0.00430232132202182],[-28.0154463054545 -24.5842405442903 -23.6629715713551],[12584 14681 16778 18875],[14624 16558 18677],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],17.4719846345389,0.466824353655995,1,1,1
PCI_1000x_02.pacq,18,[0.000158601457719683 0.000259715172889124 0.00113079993868264 0.00227722731889637],[-37.9969282536202 -35.8550267759621 -29.4661422373203 -26.4259361478901],[0.000672745946686793 0.00128515975940925 0.00274912509914345],[-31.7214891019277 -28.9104288142437 -25.6080549710396],[12584 14681 16778 18875],[12780 16480 18672],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],19.66044898079,0.466824353655995,1,1,1
