H6_freq,H6_power,H6_db,H7_freq,H7_power,H7_db,H8_freq,H8_power,H8_db,H9_freq,H9_power,H9_db,H10_freq,H10_power,H10_db,H11_freq,H11_power,H11_db,H12_freq,H12_power,H12_db,H13_freq,H13_power,H13_db,H14_freq,H14_power,H14_db,H15_freq,H15_power,H15_db,H16_freq,H16_power,H16_db,H17_freq,H17_power,H17_db,H18_freq,H18_power,H18_db,H19_freq,H19_power,H19_db,H20_freq,H20_power,H20_db,U6_freq,U6_power,U6_db,U7_freq,U7_power,U7_db,U8_freq,U8_power,U8_db,U9_freq,U9_power,U9_db,U10_freq,U10_power,U10_db,U11_freq,U11_power,U11_db,U12_freq,U12_power,U12_db,U13_freq,U13_power,U13_db,U14_freq,U14_power,U14_db,U15_freq,U15_power,U15_db,U16_freq,U16_power,U16_db,U17_freq,U17_power,U17_db,U18_freq,U18_power,U18_db,U19_freq,U19_power,U19_db,U20_freq,U20_power,U20_db,filename,channel,frame
3000020.98083496,0.0714355811501791,-60.9567346110652,3499984.74121094,0.449499833671629,-50.1247410671472,3999948.50158691,1.23067345662393,-43.1597095134292,4499912.26196289,1.85799642158003,-48.4702868171344,4999876.02233887,2.15773514477167,-45.0811263141833,5500078.20129395,2.24466426974175,-46.8801566001628,6000041.96166992,2.26855160446165,-48.1248430829229,6500005.7220459,2.30448859778167,-46.6364305518574,6822347.64099121,2.22943001524577,-50.1729358002491,7534027.09960938,2.28919031309432,-49.9259965948384,8146524.42932129,2.30773462873513,-49.9191717286493,8440732.95593262,2.35622740649747,-49.6004416005339,8999824.52392578,2.39056836995849,-49.9397797226507,9432077.40783691,2.39201165378602,-49.614850318393,9804487.22839355,2.39355207701918,-49.734482973249,3278732.29980469,0.0280072554757227,-62.1896243987851,3772497.17712402,0.123528663284103,-54.4636730654322,4258632.65991211,0.254400374594055,-52.3778502816993,4744052.88696289,0.349524045277292,-49.7711476921313,5263090.13366699,0.352629719822547,-51.1061234003543,5786418.91479492,0.361053570205511,-50.5414467052775,6240606.3079834,0.374528729658839,-50.8021187138584,6725788.11645508,0.384314052509511,-50.5313247531201,7223844.52819824,0.370093462743024,-50.7651511055847,7744073.86779785,0.40157759108656,-50.6588720569238,8290767.66967773,0.372747543557685,-50.614697800204,8795499.80163574,0.390686562085376,-50.5129884670139,9250640.86914062,0.39944426307698,-50.2705783810086,9733200.07324219,0.398483929170644,-50.757368129663,10244369.5068359,0.392982125659291,-50.1190870666652,PCI_1000x_01.pacq,1,1
3000020.98083496,0.075940491946629,-57.3504739862667,3499984.74121094,0.466301442054991,-44.8399131463732,3999948.50158691,1.3120730249464,-38.2673850008331,4499912.26196289,2.35712579385369,-31.1028650701155,4999876.02233887,2.39044680370142,-34.8482165204626,5500078.20129395,2.27727334199703,-39.0996444254851,6000041.96166992,2.36688259699679,-36.9085340783529,6500005.7220459,2.25281109239346,-40.4738148564068,6999969.48242188,2.28963175083998,-42.2872126494399,7495641.70837402,2.31197373863485,-49.660132360575,7999897.00317383,2.40155153043944,-45.7018404762839,8228063.58337402,2.37816410974939,-49.3428633074186,9000062.94250488,2.40367200169231,-49.1459223217248,9500026.70288086,2.42306842289026,-48.9612529396122,9729385.37597656,2.40384169723855,-49.520563660755,3296375.2746582,0.0299045795608406,-60.3964245590872,3788948.05908203,0.133119335584449,-55.1518203525745,4289150.23803711,0.27047160655508,-52.0578819661584,4737615.58532715,0.339387171203791,-51.4926509156492,5212783.81347656,0.355432819367296,-51.5730320824296,5710840.22521973,0.394321802913038,-50.1101899120639,6209373.47412109,0.363795778274735,-51.236081614679,6711721.42028809,0.351382365595865,-51.0191500385007,7265806.19812012,0.377426627733881,-50.5273369292221,7771730.42297363,0.400941271098833,-49.9624385432115,8228063.58337402,0.41161132566396,-49.3428633074186,8714914.32189941,0.409315515962232,-49.7484523250305,9285449.98168945,0.413099635486148,-49.2645442950142,9729385.37597656,0.415773802403643,-49.520563660755,10207653.0456543,0.381407162399833,-50.0336169540446,PCI_1000x_01.pacq,1,2
3000020.98083496,0.0728513175653719,-56.898939164799,3499984.74121094,0.636839729799705,-34.8579082530795,3999948.50158691,2.50100246141004,-26.7829855062243,4499912.26196289,3.13760670141529,-27.149240116291,4999876.02233887,2.79796157438193,-30.1571133730055,5500078.20129395,2.79340978805959,-30.1986856157929,6000041.96166992,2.28619568200027,-40.05658806518,6500005.7220459,2.57543905417288,-32.991545702725,6999969.48242188,2.31920464963084,-40.9718568920031,7499933.24279785,2.32660994216436,-45.1969665632899,7999897.00317383,2.27092032825288,-42.9665217229177,8499860.7635498,2.40304928582018,-46.8074057857368,9000062.94250488,2.41121791736427,-44.7137242575012,9500026.70288086,2.43113273434982,-47.9902742662495,9999990.46325684,2.43369106150325,-48.90044376043,3296613.6932373,0.0271812569243555,-61.4459970968144,3781557.08312988,0.129129480514541,-54.6502483437335,4228591.91894531,0.250892227638624,-52.319711296225,4796028.13720703,0.34886092169633,-50.765475559127,5244493.48449707,0.36872788742715,-50.4228221103546,5770444.86999512,0.360076002352724,-50.6302140160959,6204128.26538086,0.372692037293658,-50.0928851243716,6782531.73828125,0.370248109269659,-51.3821622754301,7204532.62329102,0.378668036725104,-50.3380298683543,7771015.16723633,0.390320707693593,-50.380314178951,8218288.42163086,0.378594492974494,-50.5985157669485,8762359.61914062,0.412299858237075,-51.2061247072902,9250640.86914062,0.388957022176057,-49.1436032101014,9719848.6328125,0.41537765830464,-50.7260874771639,10286569.5953369,0.40345193875588,-49.889738951741,PCI_1000x_01.pacq,1,3
3000020.98083496,0.132842471256955,-40.3796642044498,3499984.74121094,2.2504334975692,-25.34966511799,3999948.50158691,7.70742211398947,-19.8727019175781,4499912.26196289,8.76639268089049,-19.8088858185467,5000114.44091797,5.09844071548928,-23.7542194293879,5500078.20129395,6.02089380572223,-22.2908567058688,6000041.96166992,4.07702712161038,-25.3295933700334,6500005.7220459,3.10077990806027,-28.6188535674673,6999969.48242188,2.73689296970341,-31.3259331644671,7499933.24279785,2.62721110362328,-32.2789017498976,7999897.00317383,2.36432187636337,-38.8470525702684,8499860.7635498,2.36748552442293,-40.2543040579891,9000062.94250488,2.39771464310698,-46.8949030534509,9500026.70288086,2.41313216825604,-45.5856214317539,10252237.3199463,2.43601487122799,-49.7026654297308,3274202.34680176,0.0306776805632893,-61.1822310181476,3745079.04052734,0.124202543639776,-55.357607107228,4270315.17028809,0.273639169774491,-51.8557214911651,4790067.67272949,0.341250428961189,-50.4851590935371,5278348.92272949,0.353198918691728,-50.4043624538758,5708217.62084961,0.370044936437673,-50.3414102452475,6204366.68395996,0.372949180138926,-49.852059652864,6767272.94921875,0.381729558880181,-50.0337178865186,7248163.2232666,0.354825463206142,-50.5145820607058,7741928.10058594,0.373248215371167,-50.6707448859626,8240938.18664551,0.363551841240949,-51.209980958543,8700847.62573242,0.392424286287737,-49.9976497361424,9250879.28771973,0.381094775909788,-51.0442922979635,9778022.76611328,0.422759713189605,-49.7251085982194,10252237.3199463,0.430464469743361,-49.7026654297308,PCI_1000x_01.pacq,1,4
3000020.98083496,0.321921499413939,-35.3825922194364,3499984.74121094,4.7391780145167,-22.6866043968781,3999948.50158691,19.7674199003706,-16.3655274035631,4499912.26196289,28.2635808004285,-15.9807247201424,4999637.60375977,35.3948238295769,-15.8506112457845,5499839.78271484,30.6462656660986,-16.4500079351971,6000041.96166992,14.790329840817,-19.6466364933486,6500005.7220459,10.8055622354656,-20.6853702016643,6999969.48242188,12.4187678029308,-19.5169757997972,7499933.24279785,8.15022054513409,-23.8008192215471,7999897.00317383,8.1680016401659,-24.7987598978752,8500099.18212891,8.06823483629464,-25.0219617864971,9000062.94250488,5.27953751704475,-28.5567077775656,9500026.70288086,4.23724861964122,-29.6394922879106,9999990.46325684,3.31575554112289,-34.2598867275746,3263711.92932129,0.0303030309393279,-61.4338005078247,3781557.08312988,0.137469037491037,-54.6605614650807,4290342.33093262,0.279792714334,-51.9316792710304,4787206.64978027,0.35755167640671,-51.1116567172023,5244016.64733887,0.367508264355188,-50.2795444202559,5710601.80664062,0.353618953069638,-50.7125680229333,6260871.88720703,0.380921368728482,-50.4332617462315,6746768.95141602,0.384870250259798,-49.9737858672323,7257699.96643066,0.409400763702019,-49.0931857508837,7735013.96179199,0.393405852796877,-50.2350956405351,8284568.78662109,0.396721489125102,-50.3525455595889,8743286.1328125,0.398896108740458,-49.7977623232336,9230375.28991699,0.407885231801679,-50.488705842649,9799242.01965332,0.420880851308215,-50.1715451561398,10288715.3625488,0.387836852273782,-50.7742512906761,PCI_1000x_01.pacq,1,5
3000020.98083496,0.342563036266034,-35.6086228697656,3499984.74121094,3.9189711838895,-25.2874176800008,3999710.08300781,27.9980921059123,-16.0908698769599,4499673.84338379,72.5827076479424,-12.3069721625145,4999637.60375977,122.789094591495,-12.0953957253679,5498647.68981934,156.598607260049,-10.8747990486249,5998849.86877441,155.374232776134,-11.1905489971361,6498575.21057129,107.258406272936,-12.913558504846,6998538.97094727,78.2646578062909,-15.2959928661827,7499694.82421875,61.913850745318,-16.481012254494,7997512.81738281,46.0052699660393,-18.5030792374004,8497714.99633789,21.6989105082918,-21.9966079950332,8997917.17529297,12.1910740726571,-24.6892029617584,9497880.93566895,9.90952568828211,-26.4952062703652,9997844.69604492,8.00893214253457,-28.204831509157,3233909.60693359,0.0286119012697254,-61.3181355336659,3758430.48095703,0.139759255838002,-54.3889368614585,4250049.59106445,0.289964329481938,-51.7210384648289,4749536.51428223,0.395998145515359,-48.6191686351058,5251407.62329102,0.505756645172106,-46.7042674600119,5755901.33666992,0.481761591221315,-46.9382047675731,6255865.0970459,0.470562045651573,-48.263011067845,6752490.99731445,0.466262584317373,-47.8736564840572,7255315.78063965,0.443036049614608,-47.9381805484638,7755517.95959473,0.488148126209825,-46.1620020979518,8252143.85986328,0.429325243990105,-49.4300456859261,8755445.48034668,0.438549985142556,-48.5502666550209,9257316.58935547,0.418571767705913,-50.2160547935892,9754657.74536133,0.419939414823174,-50.6221928562218,10255336.7614746,0.391144562953684,-49.9553172895219,PCI_1000x_01.pacq,1,6
2999305.72509766,0.681817943924075,-36.8389203226991,3498077.39257812,7.53759020103358,-27.2355350394975,3998041.1529541,41.0219188599981,-19.0984980416463,4497766.49475098,116.418331118422,-13.9184411813129,4997730.25512695,252.347806893323,-10.156096093043,5497932.43408203,345.292416317606,-8.27525100704328,5997896.19445801,365.740308880927,-8.63746803595763,6497859.95483398,261.04535952719,-11.2141731573883,6997108.45947266,183.924636560472,-13.6838712051053,7495880.12695312,184.516523079364,-14.2501564622818,7995605.46875,145.676699121739,-15.2210835169755,8495569.22912598,85.4069604868469,-18.1136017446653,8998632.43103027,50.8832075430335,-20.0062653970585,9498596.19140625,36.1267109433508,-21.0381337947477,9994745.2545166,22.8443632705861,-24.1343438494663,3250360.4888916,0.0512330285613245,-51.5980499263654,3750324.24926758,0.34650018241643,-40.8560272317757,4250526.42822266,1.09079333119003,-34.9824302674176,4750490.18859863,2.01712642777938,-32.7068392219006,5250453.94897461,3.42568336543309,-30.2121152331351,5750417.70935059,3.80692884592553,-29.2933490475886,6250619.88830566,2.7973282551507,-31.0363863311161,6750583.64868164,2.39575555794464,-31.1048381907165,7250308.99047852,2.35501236360903,-30.1141607336665,7750272.75085449,2.21461786637827,-30.6581320350236,8250474.92980957,1.53511378949468,-32.4730244711277,8750438.69018555,1.45393220298338,-32.1311830986754,9250402.45056152,1.05582257690505,-34.0653963760358,9750604.6295166,0.772960677268096,-36.3512064865603,10250568.3898926,0.673857192110825,-37.992610276475,PCI_1000x_01.pacq,1,7
3000020.98083496,0.996875177025055,-38.2049720201543,3498315.81115723,10.5080053485991,-30.0452562339178,3997564.3157959,59.7759170553889,-20.2927861748316,4497528.07617188,150.295421175056,-15.7597671693236,4997730.25512695,268.734621410652,-14.8173634490749,5481958.38928223,330.312424068645,-13.9084435375292,5998134.61303711,322.167530980849,-13.9540114445096,6495714.18762207,247.124412843211,-15.0089935300955,6994009.01794434,218.188326603619,-16.5394820002098,7493734.35974121,234.077741110741,-14.0177143982467,7993698.12011719,172.312604427126,-15.9562663848662,8493661.88049316,117.781450228422,-18.7458678407204,8993625.64086914,79.2020984945454,-21.3304184677814,9491920.47119141,54.3285133280258,-21.8715414497201,9991645.81298828,35.6995418864375,-23.4762623773378,3241777.42004395,0.0446235156865242,-58.3097673218584,3739833.83178711,0.301087724710429,-51.0890292451192,4248142.24243164,0.882076927442895,-44.5367099548617,4716157.91320801,1.59259978970392,-42.1589744468374,5258321.76208496,2.2649403500986,-40.1832607850197,5733489.99023438,2.56339541642987,-39.151928274107,6251096.72546387,2.35259947112721,-40.4404547002534,6727933.88366699,1.97364965248034,-41.2184953869725,7290363.31176758,1.58939948868772,-41.7481175285169,7743358.61206055,1.34728514986396,-44.0555247479402,8241176.60522461,1.14709207436891,-42.9660772276471,8771896.36230469,0.923603879297701,-44.804212856529,9243249.89318848,0.731574366511691,-46.6935081795326,9785175.32348633,0.59592590191928,-47.7769719256662,10252237.3199463,0.545101710371077,-48.6813731526203,PCI_1000x_01.pacq,1,8
2986907.95898438,1.74012468336824,-36.5430792264768,3486394.88220215,23.1821298686085,-25.2279955002944,3986358.64257812,116.50162698488,-18.1398347128923,4486322.4029541,284.098904716228,-15.3461013251398,4979372.02453613,521.518169853829,-12.2783209038873,5476713.18054199,653.933555072584,-10.3052549801464,5976676.94091797,612.261867657503,-9.52300925828427,6476640.70129395,510.785953219895,-11.1585815351771,6977558.13598633,429.955216100781,-12.9391187241025,7472276.68762207,367.478941275243,-15.5508004381016,7972478.86657715,260.229048407077,-17.2818665797469,8463621.13952637,173.149434440406,-18.8617013923685,8963584.89990234,124.708037280611,-18.6993779440347,9463548.66027832,93.7310166903778,-19.9436327093274,9963989.2578125,59.7190845616258,-21.6800782815936,3288507.46154785,0.0630637976333362,-56.0244107906832,3772497.17712402,0.477727531604746,-48.2777204487307,4208803.17687988,1.60321575529107,-42.8509383878965,4795551.30004883,3.45708079231414,-38.9201398331619,5231857.29980469,5.67237786833402,-35.1118965856396,5732059.47875977,6.06285877997084,-34.004524058077,6265878.67736816,4.5340684467457,-37.6278675302305,6752729.41589355,4.08697770459235,-38.2158542128541,7218599.31945801,3.8776741006743,-37.9387041510823,7766246.7956543,3.74583173315318,-37.8405914829791,8219003.67736816,2.86845974162144,-39.0044747238364,8718967.43774414,2.11015156758954,-40.5711470533274,9287595.74890137,1.4535181219666,-42.2983127376585,9787559.50927734,1.08999187645846,-43.4246024021732,10256052.0172119,0.87203238156532,-44.8595772756826,PCI_1000x_01.pacq,1,9
2986907.95898438,2.29309673827292,-34.7937782324862,3482580.18493652,28.9413602946505,-23.677259387366,3982543.9453125,139.496501404152,-17.8155290414911,4480838.77563477,338.462329439846,-14.4406518055011,4979848.86169434,655.320306007392,-11.9457266267719,5470752.71606445,694.96785316535,-13.2189821988097,5970954.89501953,575.272921360221,-12.914121151064,6470918.65539551,482.779014283702,-14.1234813168282,6962299.34692383,441.145668012231,-14.5605450289879,7463455.20019531,409.362872698919,-15.1792804305516,7970809.93652344,302.676820001217,-16.3863718132833,8458137.51220703,221.185430055615,-16.7015324544401,8958101.27258301,154.209858514759,-17.9578441140856,9458065.03295898,111.339499930063,-21.5128519844977,9951829.91027832,70.5631363815817,-24.611899440353,3247737.88452148,0.135395772155878,-51.7028286048355,3794193.26782227,1.10184065028903,-43.7986326225325,4251003.26538086,3.76714904295667,-37.4588373272311,4750967.02575684,9.05429165132714,-34.4215790601518,5238771.43859863,16.4540988503507,-30.7621688677045,5738973.61755371,19.2103255424651,-29.1473811684784,6212711.33422852,17.2547252951439,-32.5224701312603,6713151.9317627,15.2805295400212,-33.5693420184029,7237672.80578613,12.8444932806773,-32.9581790385934,7705450.0579834,11.5182749078646,-33.0809581675066,8214473.72436523,9.05862682969519,-33.9026895242728,8718013.76342773,6.94587434854191,-35.6854642094009,9268760.68115234,5.3177847315754,-35.3998667776825,9768724.44152832,3.51309484055793,-36.95644274207,10268688.2019043,2.22250048669248,-40.8709897174795,PCI_1000x_01.pacq,1,10
